file_path,metadata
WEF_FD-16_Facilities_Design.pdf,"{""doc_type"":""guidance"",""agency"":""WA Ecology"",""jurisdiction"":""Unknown"",""program"":""USDA RD"",""topic"":[""soil_characteristics"",""groundwater_mounding_analysis"",""data_analysis_and_interpretation"",""design"",""construction"",""management"",""refs"",""chapter_4_slow_rate_land_treatment_systems""],""citation"":"""",""effective_date"":null,""version"":""from_md"",""is_superseded"":false,""quality"":""secondary""}"
MOP8_Combined_part04.pdf,"{""doc_type"":""regulation"",""agency"":""EPA"",""jurisdiction"":""US"",""program"":""None"",""topic"":[""degritting"",""grinding"",""macerator_grinder"",""screening"",""lysis"",""refs"",""flow_characteristics"",""flow_and_solids_monitoring""],""citation"":""40 CFR 257"",""effective_date"":null,""version"":""from_md"",""is_superseded"":false,""quality"":""gold""}"
MOP8_Combined_part05.pdf,"{""doc_type"":""regulation"",""agency"":""WA Ecology"",""jurisdiction"":""US"",""program"":""None"",""topic"":[""climatic_effects"",""sidewalls"",""underdrains"",""gravel_layers"",""sand_layer"",""partitions"",""decanters"",""solids_distribution_channel""],""citation"":""40 CFR 257; 40 CFR 503; 40 CFR 60.118"",""effective_date"":null,""version"":""from_md"",""is_superseded"":false,""quality"":""gold""}"
WEF_FD-6_Sanitary_Sewer_Rehabilitation.pdf,"{""doc_type"":""regulation"",""agency"":""EPA"",""jurisdiction"":""US"",""program"":""None"",""topic"":[""quality_check"",""design_phase"",""construction"",""summary"",""refs"",""methods_of_evaluation"",""focused_electrode_leak_location_technology"",""electromagnetic_technology""],""citation"":""40 CFR 125.3"",""effective_date"":""2022-05-01"",""version"":""from_md"",""is_superseded"":false,""quality"":""gold""}"
2013_WEF_FD-5_gravity-sanitary-sewer-design-and-construction.pdf,"{""doc_type"":""regulation"",""agency"":""EPA"",""jurisdiction"":""US"",""program"":""None"",""topic"":[""design_and_construction"",""water_environment_federation_technical_practice_committee_control_group"",""foreword"",""organization_and_administration_of_sanitary_sewer_projects"",""surveys_and_investigations"",""quantity_of_wastewater"",""corrosion_processes_and_controls_in_municipal_wastewater_collection_systems"",""hydraulics_of_sewers""],""citation"":""29 CFR 1926; 29CFR1926.650"",""effective_date"":""1935-03-01"",""version"":""from_md"",""is_superseded"":false,""quality"":""gold""}"
2020_ASCE_Pipelines_Enfinger_Paper.pdf,"{""doc_type"":""guidance"",""agency"":""EPA"",""jurisdiction"":""US"",""program"":""None"",""topic"":[""abstract"",""_minimum_method"",""wastewater_production_method"",""example"",""stevens_schutzbach_method"",""mitchell_method"",""acknowledgement""],""citation"":"""",""effective_date"":null,""version"":""from_md"",""is_superseded"":false,""quality"":""secondary""}"
MOP8_Combined_part06.pdf,"{""doc_type"":""regulation"",""agency"":""EPA"",""jurisdiction"":""US"",""program"":""USDA RD"",""topic"":[""figure_2341_impact_of_solids_concentration_on_reaction_rate_dantonio_1983"",""figure_vss_reduction_efficiency_vs_srt__temperature_product"",""conventional_mesophilic_aerobic_digestion"",""solids_retention_time_temperature_product"",""figure_2346_selection_of_srt__temperature_days__c_product_for_feed_with_low_degradable_solids_content_daigger_et_al_1999"",""piping_arrangements"",""instrumentation_and_controls"",""considerations_of_equipment_selection""],""citation"":""40 CFR 258; 40 CFR 503; 40 CFR 503.16"",""effective_date"":null,""version"":""from_md"",""is_superseded"":false,""quality"":""gold""}"
MOP8_Combined_part01.pdf,"{""doc_type"":""guidance"",""agency"":""WA Ecology"",""jurisdiction"":""Unknown"",""program"":""None"",""topic"":[""background"",""water_resource_recovery_facility_advances"",""organization"",""refs"",""suggested_readings"",""what_is_thickening"",""integrated_design"",""project_team""],""citation"":"""",""effective_date"":""1935-03-01"",""version"":""from_md"",""is_superseded"":false,""quality"":""secondary""}"
MOP8_Combined_part03.pdf,"{""doc_type"":""regulation"",""agency"":""EPA"",""jurisdiction"":""US"",""program"":""USDA RD"",""topic"":[""figure_1410_solids_storage_capabilities_of_filter_media_ft__03048_m_lbsq_ft__ft__1602__kgmm"",""figure_1411_minimum_backwash_rates_for_a_bed_expansion_of_10_at_25c_77f_gpmsq_ft__2444__mh"",""figure_1412_bed_expansion_for_sandanthracite_filter_at_19_and_295c_gpm__3785__lmin_in__254__mm_gpmsq_ft__2444__mh"",""flow_control_methods"",""table_145_design_velocities_and_flow_volumes"",""semicontinuous_operation_single_graded_medium_upflow_filters"",""semicontinuous_operation_single_medium_pulsed_bed_filters"",""continuous_operation_nongraded_media_filters""],""citation"":""40 CFR 258; 40 CFR 261; 40 CFR 503; 40 CFR 60"",""effective_date"":null,""version"":""from_md"",""is_superseded"":false,""quality"":""gold""}"
MOP8_Combined_part02.pdf,"{""doc_type"":""guidance"",""agency"":""WA Ecology"",""jurisdiction"":""Unknown"",""program"":""None"",""topic"":[""mechanical_mixing_maintaining_solids_in_suspension"",""aeration_maintaining_solids_in_suspension"",""effect_of_mixing_on_flocculation"",""activated_sludge_foam_control"",""continuous_or_semicontinuous_pumping_from_the_classifying_selector_sump_to_avoid_foam_accumulation"",""anaerobic_treatment_of_wastewater"",""microbiology"",""process_configurations""],""citation"":"""",""effective_date"":null,""version"":""from_md"",""is_superseded"":false,""quality"":""secondary""}"
