file_path,metadata
1996_Ecology_02_Guidance_Document.pdf,"{""doc_type"":""guidance"",""agency"":""WA Ecology"",""jurisdiction"":""WA"",""program"":""None"",""topic"":[""for_the_ground_water_quality_standards"",""water_quality_program"",""10_applicability__1"",""20_process_for_using_this_guidance_document__9"",""30_antidegradation_policy__17"",""40_hydrogeologic_study__21"",""421_minimum_requirements"",""422_additional_hydrogeologic_characterization_requirements""],""citation"":""RCW 15.58.150; RCW 90.48.010; RCW 90.54.020; WAC  \n173-200-050; WAC 173-200; WAC 173-200-010; WAC 173-200-020; WAC 173-200-030; WAC 173-200-040; WAC 173-200-050; WAC 173-200-060; WAC 173-200-070; WAC 173-200-080; WAC 173-200-090; WAC 173-200-100; WAC 173-240-060; WAC 173-304-300; WAC 173-340-720"",""effective_date"":""2005-10-01"",""version"":""from_md"",""is_superseded"":false,""quality"":""secondary""}"
1997_DOE_Interagency_GW.pdf,"{""doc_type"":""spec"",""agency"":""WA Ecology"",""jurisdiction"":""WA"",""program"":""None"",""topic"":[""ground_water"",""public_water_supply"",""what_is_being_done_to_protect_it"",""department_of_ecology"",""county_inspection_programs"",""solution_what_wastewater_permits_can_do_to_protect_ground_water"",""whats_being_done_to_protect_ground_water_from_solid_waste_contamination"",""solution_whats_being_done_to_protect_ground_water_from_septic_system_contamination""],""citation"":""RCW 90.54.140; WAC 173-200-020; WAC 246-290-020"",""effective_date"":""1997-03-01"",""version"":""from_md"",""is_superseded"":false,""quality"":""secondary""}"
DOE_9336_Industrial_Land_Application_Systems.pdf,"{""doc_type"":""spec"",""agency"":""WA Ecology"",""jurisdiction"":""WA"",""program"":""USDA RD"",""topic"":[""department_of"",""for"",""climatic_data"",""topography"",""soils"",""crops"",""wetlands"",""land_use""],""citation"":""WAC 173-216-030; WAC 173-240-130"",""effective_date"":""1993-05-01"",""version"":""from_md"",""is_superseded"":false,""quality"":""secondary""}"
DOE_General_Guidance.pdf,"{""doc_type"":""guidance"",""agency"":""EPA"",""jurisdiction"":""Unknown"",""program"":""None"",""topic"":[""department_of_environmental_protection_staff"",""a_state"",""b_local"",""c_federal"",""ii_filing_for_a_groundwater_discharge_permit"",""a_engineering_report"",""d_operation_and_maintenance_plan"",""e_documentation_of_ownership_and_finances""],""citation"":"""",""effective_date"":""2004-04-01"",""version"":""from_md"",""is_superseded"":false,""quality"":""secondary""}"
DOE_T6_Criteria_Liners_Lagoons.pdf,"{""doc_type"":""guidance"",""agency"":""WA Ecology"",""jurisdiction"":""WA"",""program"":""None"",""topic"":[""t7_lagoon_and_liner_design_guidelines__8"",""t7_582_sludge_removal_methods__71"",""t7_6_references__84"",""t7_1_guidance_purpose"",""t7_2_general_design_guidance"",""figure_t7_1_lagoon_liner_diagrams"",""t7_5_retrofit_of_existing_lagoon"",""t7_512_double_liner_systems""],""citation"":"""",""effective_date"":""2005-10-01"",""version"":""from_md"",""is_superseded"":false,""quality"":""secondary""}"
WAC 173 -216  State Waste Discharge Permit.pdf,"{""doc_type"":""regulation"",""agency"":""WA Ecology"",""jurisdiction"":""WA"",""program"":""None"",""topic"":[""state_waste_discharge_permit_program"",""wac_173_216_010_purpose"",""wac_173_216_020_policy_enunciated"",""wac_173_216_040_authorization_required"",""wac_173_216_080_confidentiality_of_information"",""wac_173_216_090_public_notice"",""wac_173_216_100_public_hearings"",""wac_173_216_120_transfer_of_a_permit""],""citation"":""RCW 90.48.035; RCW 90.48.165; RCW 90.48.200; RCW 90.48.260; RCW 90.48.610; WAC 173-216-010; WAC 173-216-020; WAC 173-216-030; WAC 173-216-040; WAC 173-216-050; WAC 173-216-060; WAC 173-216-070; WAC 173-216-080; WAC 173-216-090; WAC 173-216-100; WAC 173-216-110; WAC 173-216-120; WAC 173-216-125; WAC 173-216-130; WAC 173-216-140; WAC 173-216-150"",""effective_date"":""2006-02-03"",""version"":""from_md"",""is_superseded"":false,""quality"":""gold""}"
WAC 173 -175  Dam Safety.pdf,"{""doc_type"":""regulation"",""agency"":""WA Ecology"",""jurisdiction"":""WA"",""program"":""None"",""topic"":[""dam_safety"",""part_one"",""part_two"",""part_three"",""part_four"",""part_five"",""part_six"",""part_seven""],""citation"":""RCW 86.16.081; RCW 90.03.350; RCW 90.03.470; WAC 173-175-010; WAC 173-175-020; WAC 173-175-030; WAC 173-175-040; WAC 173-175-050; WAC 173-175-060; WAC 173-175-100; WAC 173-175-110; WAC 173-175-120; WAC 173-175-130; WAC 173-175-140; WAC 173-175-150; WAC 173-175-160; WAC 173-175-170; WAC 173-175-180; WAC 173-175-190; WAC 173-175-200; WAC 173-175-210; WAC 173-175-220; WAC 173-175-230; WAC 173-175-240; WAC 173-175-250; WAC 173-175-260; WAC 173-175-270; WAC 173-175-350; WAC 173-175-360; WAC 173-175-370; WAC 173-175-380; WAC 173-175-390; WAC 173-175-400; WAC 173-175-500; WAC 173-175-510; WAC 173-175-520; WAC 173-175-530; WAC 173-175-600; WAC 173-175-610; WAC 173-175-620; WAC 173-175-630; WAC 173-175-705; WAC 173-175-725; WAC 173-175-735; WAC 173-175-755; WAC 173-175-765; WAC 173-175-775; WAC 173-175-785; WAC 173-175-795"",""effective_date"":""2012-02-27"",""version"":""from_md"",""is_superseded"":false,""quality"":""gold""}"
WAC 173 -218  UIC Program.pdf,"{""doc_type"":""regulation"",""agency"":""WA Ecology"",""jurisdiction"":""WA"",""program"":""None"",""topic"":[""underground_injection_control_program"",""wac_173_218_050_exemptions_from_uic_well_status"",""wac_173_218_060_requirements_to_operate_a_uic_well"",""wac_173_218_070_rule_authorization_and_registration"",""wac_173_218_080_the_nonendangerment_standard_for_uic_wells"",""wac_173_218_090_specific_requirements_for_class_v_wells_to_meet_the_nonendangerment_standard"",""wac_173_218_110_permit_terms_and_conditions_if_a_uic_well_is_not_rule_authorized"",""wac_173_218_115_specific_requirements_for_class_v_wells_used_to_inject_carbon_dioxide_for_permanent_geologic_sequestration""],""citation"":""RCW 90.46.042; RCW 90.48.010; RCW 90.48.080; WAC  \n173-218-010; WAC 173-200-020; WAC 173-200-050; WAC 173-216-110; WAC 173-218-010; WAC 173-218-020; WAC 173-218-030; WAC 173-218-040; WAC 173-218-050; WAC 173-218-060; WAC 173-218-070; WAC 173-218-080; WAC 173-218-090; WAC 173-218-100; WAC 173-218-110; WAC 173-218-115; WAC 173-218-120; WAC 173-218-130; WAC 173-303-070; WAC 173-407-110"",""effective_date"":""2008-07-20"",""version"":""from_md"",""is_superseded"":false,""quality"":""gold""}"
WAC_173-219_Reclaimed_Water_Use.pdf,"{""doc_type"":""regulation"",""agency"":""WA Ecology"",""jurisdiction"":""WA"",""program"":""None"",""topic"":[""reclaimed_water"",""wac_173_219_010_definitions_abbreviations_and_acronyms"",""wac_173_219_040_direct_enforceability"",""wac_173_219_050_lead_agency_designation"",""wac_173_219_060_agency_requirements_and_responsibilities"",""wac_173_219_080_applying_for_a_reclaimed_water_permit"",""wac_173_219_160_appeals"",""wac_173_219_170_preplanning_and_project_application""],""citation"":""RCW 36.94.010; RCW 90.46.010; RCW 90.46.015; RCW 90.46.090; RCW 90.46.130; RCW 90.46.220; RCW 90.48.020; RCW 90.48.110; RCW 90.48.112; RCW 90.58.380; WAC 173-216-060; WAC 173-219-010; WAC 173-219-020; WAC 173-219-030; WAC 173-219-040; WAC 173-219-050; WAC 173-219-060; WAC 173-219-070; WAC 173-219-080; WAC 173-219-090; WAC 173-219-100; WAC 173-219-110; WAC 173-219-120; WAC 173-219-130; WAC 173-219-140; WAC 173-219-150; WAC 173-219-160; WAC 173-219-170; WAC 173-219-180; WAC 173-219-190; WAC 173-219-200; WAC 173-219-210; WAC 173-219-220; WAC 173-219-230; WAC 173-219-240; WAC 173-219-250; WAC 173-219-260; WAC 173-219-270; WAC 173-219-280; WAC 173-219-290; WAC 173-219-300; WAC 173-219-310; WAC 173-219-320; WAC 173-219-330; WAC 173-219-340; WAC 173-219-350; WAC 173-219-360; WAC 173-219-370; WAC 173-219-380; WAC 173-219-390; WAC 173-221-040; WAC 173-240-040; WAC 173-240-060; WAC 173-240-070; WAC 173-240-090; WAC 173-240-095; WAC 246-272; WAC 246-290-020; WAC 246-290-060; WAC 246-290-135; WAC 246-290-310; WAC 246-290-490"",""effective_date"":""2018-02-23"",""version"":""from_md"",""is_superseded"":false,""quality"":""gold""}"
WAC 197-11 SEPA RULES.pdf,"{""doc_type"":""regulation"",""agency"":""WA Ecology"",""jurisdiction"":""WA"",""program"":""None"",""topic"":[""sepa_rules"",""wac_197_11_010_authority"",""part_two_general_requirements"",""wac_197_11_070_limitations_on_actions_during_sepa_process"",""wac_197_11_080_incomplete_or_unavailable_information"",""wac_197_11_090_supporting_documents"",""wac_197_11_100_information_required_of_applicants"",""wac_197_11_210_sepagma_integration""],""citation"":""RCW 16.65.030; RCW 34.05.330; RCW 36.94.100; RCW 43.31.050; RCW 43.31.060; RCW 43.31.070; RCW 43.31.160; RCW 43.31.370; RCW 58.17.020; RCW 58.17.035; RCW 58.17.040; RCW 58.17.060; RCW 70.38.120; RCW 70.94.181; RCW 70.95.100; RCW 70.98.080; RCW 75.20.100; RCW 76.09.070; RCW 78.52.125; RCW 78.60.070; RCW 79.14.300; RCW 80.50.175; RCW 82.02.050; WAC 173-340-350; WAC 173-340-430; WAC 173-340-600"",""effective_date"":""2023-01-20"",""version"":""from_md"",""is_superseded"":false,""quality"":""gold""}"
