Cleanup Plan (EXECUTE) - 20250818_140734
--------------------------------------------------------------------------------
FROM: /mnt/c/repos/caliper/.bat -> TO: /mnt/c/repos/caliper/scripts/.bat
FROM: /mnt/c/repos/caliper/.clineignore -> TO: /mnt/c/repos/caliper/archive/20250818_140734/misc/.clineignore
FROM: /mnt/c/repos/caliper/.dockerignore -> TO: /mnt/c/repos/caliper/archive/20250818_140734/misc/.dockerignore
FROM: /mnt/c/repos/caliper/.secrets.baseline -> TO: /mnt/c/repos/caliper/archive/20250818_140734/misc/.secrets.baseline
FROM: /mnt/c/repos/caliper/5 -> TO: /mnt/c/repos/caliper/archive/20250818_140734/misc/5
FROM: /mnt/c/repos/caliper/AKART_ANALYSIS_PROMPT.md -> TO: /mnt/c/repos/caliper/notes/archive/legacy/AKART_ANALYSIS_PROMPT.md
FROM: /mnt/c/repos/caliper/CLAUDE.md -> TO: /mnt/c/repos/caliper/notes/archive/legacy/CLAUDE.md
FROM: /mnt/c/repos/caliper/CLAUDE.md.backup.20250806_194427 -> TO: /mnt/c/repos/caliper/archive/20250818_140734/misc/CLAUDE.md.backup.20250806_194427
FROM: /mnt/c/repos/caliper/CLAUDE_ENHANCED_LLAMAINDEX.md -> TO: /mnt/c/repos/caliper/notes/archive/legacy/CLAUDE_ENHANCED_LLAMAINDEX.md
FROM: /mnt/c/repos/caliper/CLEANUP_SUMMARY.md -> TO: /mnt/c/repos/caliper/notes/archive/legacy/CLEANUP_SUMMARY.md
FROM: /mnt/c/repos/caliper/FRESH_INSTALL_SUMMARY.md -> TO: /mnt/c/repos/caliper/notes/archive/legacy/FRESH_INSTALL_SUMMARY.md
FROM: /mnt/c/repos/caliper/INDEXING_OPTIMIZATION_GUIDE.md -> TO: /mnt/c/repos/caliper/notes/archive/legacy/INDEXING_OPTIMIZATION_GUIDE.md
FROM: /mnt/c/repos/caliper/INDEX_COMMANDS.md -> TO: /mnt/c/repos/caliper/notes/archive/legacy/INDEX_COMMANDS.md
FROM: /mnt/c/repos/caliper/INDEX_REMAINING_COMMANDS.md -> TO: /mnt/c/repos/caliper/notes/archive/legacy/INDEX_REMAINING_COMMANDS.md
FROM: /mnt/c/repos/caliper/UPGRADE_SUMMARY.md -> TO: /mnt/c/repos/caliper/notes/archive/legacy/UPGRADE_SUMMARY.md
FROM: /mnt/c/repos/caliper/Untitled.canvas -> TO: /mnt/c/repos/caliper/archive/20250818_140734/misc/Untitled.canvas
FROM: /mnt/c/repos/caliper/VERIFICATION_AGENT_SPEC.md -> TO: /mnt/c/repos/caliper/notes/archive/legacy/VERIFICATION_AGENT_SPEC.md
FROM: /mnt/c/repos/caliper/WAC 173 -216  State Waste Discharge Permit.json -> TO: /mnt/c/repos/caliper/archive/20250818_140734/misc/WAC 173 -216  State Waste Discharge Permit.json
FROM: /mnt/c/repos/caliper/a_plus_rag.txt -> TO: /mnt/c/repos/caliper/archive/20250818_140734/misc/a_plus_rag.txt
FROM: /mnt/c/repos/caliper/add_folder_placeholders.sh -> TO: /mnt/c/repos/caliper/scripts/add_folder_placeholders.sh
FROM: /mnt/c/repos/caliper/akart_methods_guide.md -> TO: /mnt/c/repos/caliper/notes/archive/legacy/akart_methods_guide.md
FROM: /mnt/c/repos/caliper/bulk_llamacloud_download.ps1 -> TO: /mnt/c/repos/caliper/scripts/bulk_llamacloud_download.ps1
