**********************
Windows PowerShell transcript start
Start time: 20250920132402
Username: AzureAD\JasonFroelich
RunAs User: AzureAD\JasonFroelich
Configuration Name: 
Machine: FES-1 (Microsoft Windows NT 10.0.26100.0)
Host Application: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -File C:/repos/caliper_3/scripts/review_capture.ps1
Process ID: 254876
PSVersion: 5.1.26100.6584
PSEdition: Desktop
PSCompatibleVersions: 1.0, 2.0, 3.0, 4.0, 5.0, 5.1.26100.6584
BuildVersion: 10.0.26100.6584
CLRVersion: 4.0.30319.42000
WSManStackVersion: 3.0
PSRemotingProtocolVersion: 2.3
SerializationVersion: 1.1.0.1
**********************
Python/Poetry/Package Versions
Poetry (version 2.1.4)
Python 3.11.8
aiohappyeyeballs                        2.6.1           Happy Eyeballs for ...
aiohttp                                 3.12.15         Async http client/s...
aiosignal                               1.4.0           aiosignal: a list o...
aiosqlite                               0.21.0          asyncio bridge to t...
altair                                  5.5.0           Vega-Altair: A decl...
annotated-types                         0.7.0           Reusable constraint...
anthropic                               0.64.0          The official Python...
anyio                                   4.10.0          High-level concurre...
attrs                                   25.3.0          Classes Without Boi...
banks                                   2.2.0           A prompt programmin...
beautifulsoup4                          4.13.4          Screen-scraping lib...
blinker                                 1.9.0           Fast, simple object...
bm25s                                   0.2.13          An ultra-fast imple...
boto3                                   1.40.11         The AWS SDK for Python
botocore                                1.40.11         Low-level, data-dri...
cachetools                              5.5.2           Extensible memoizin...
certifi                                 2025.8.3        Python package for ...
charset-normalizer                      3.4.2           The Real First Univ...
click                                   8.1.8           Composable command ...
cohere                                  5.17.0
colorama                                0.4.6           Cross-platform colo...
dash                                    3.2.0           A Python framework ...
dash-bootstrap-components               2.0.4           Bootstrap themed co...
dataclasses-json                        0.6.7           Easily serialize da...
defusedxml                              0.7.1           XML bomb protection...
deprecated                              1.2.18          Python @deprecated ...
dirtyjson                               1.0.8           JSON decoder for Py...
distro                                  1.9.0           Distro - an OS plat...
docstring-parser                        0.17.0          Parse Python docstr...
et-xmlfile                              2.0.0           An implementation o...
faiss-cpu                               1.11.0.post1    A library for effic...
fastavro                                1.12.0          Fast read/write of ...
filelock                                3.18.0          A platform independ...
filetype                                1.2.0           Infer file type and...
flask                                   3.1.2           A simple framework ...
